ID,Titel,Fase ID,Fase Label,Oorzaak,Impact,Gevolg,Beschrijving,Minimale Extra Reistijd (min.),Maximale Extra Reistijd (min.),Starttijd,Geschatte Eindtijd,Eindtijd,Stationscodes,Stationsnamen,Tijdstip collectie
6024961,Arnhem-Zutphen,2,Impact bekend,Seinstoring,2,,Tussen Arnhem Centraal en Dieren rijden er minder treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T23:49:11
6024962,Arnhem-Doetinchem,2,Impact bekend,Seinstoring,2,,Tussen Arnhem Centraal en Zevenaar rijden er minder treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T23:49:11
6024963,Dordrecht-Geldermalsen,2,Impact bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T02:30:00,2023-08-16T02:30:00,,,2023-08-15T23:49:11
6024963,Dordrecht-Geldermalsen,2,Impact bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T02:30:00,2023-08-16T02:30:00,,,2023-08-16T00:09:37
6024963,Dordrecht-Geldermalsen,2,Impact bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T01:15:00,2023-08-16T01:15:00,,,2023-08-16T00:24:37
6024963,Dordrecht-Geldermalsen,2,Impact bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T01:15:00,2023-08-16T01:15:00,,,2023-08-16T00:34:49
6024963,Dordrecht-Geldermalsen,2,Impact bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T01:15:00,2023-08-16T01:15:00,,,2023-08-16T00:49:26
6024963,Dordrecht-Geldermalsen,2,Impact bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T01:15:00,2023-08-16T01:15:00,,,2023-08-16T01:10:07
6024963,Dordrecht-Geldermalsen,4,Storing voorbij,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd zijn de beperkingen voorbij.,,,2023-08-15T22:21:04,2023-08-16T01:30:00,2023-08-16T01:30:00,,,2023-08-16T01:20:47
6024963,Dordrecht-Geldermalsen,4,Storing voorbij,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd zijn de beperkingen voorbij.,,,2023-08-15T22:21:04,2023-08-16T01:30:00,2023-08-16T01:30:00,,,2023-08-16T01:34:32
6024965,Amsterdam Bijlmer ArenA-Leiden Centraal,1b,Gevolgen bekend,Defect spoor,3,,Tussen Schiphol Airport en Amsterdam Bijlmer ArenA rijden er geen treinen door een defect spoor.,,,2023-08-16T02:07:08,2023-08-16T05:00:00,2023-08-16T05:00:00,,,2023-08-16T02:47:24
6024966,Utrecht-'s-Hertogenbosch,1b,Gevolgen bekend,Sein- en wisselstoring,2,,Tussen Houten Castellum en Geldermalsen is er een verstoring in de treindienst door een sein- en wisselstoring.,,,2023-08-16T06:35:52,2023-08-16T10:00:00,2023-08-16T10:00:00,,,2023-08-16T07:10:26
